sample,n1,n2,mean1,mean2,sd1,sd2,welch_t,welch_p,mannwhitney_u,mannwhitney_p,cohens_d,rank_biserial
all,13790,1845,0.990462428071062,0.9951477473524722,0.03711149162518958,0.029835892145616376,-6.13966489881084,9.499757547598913e-10,11795459.0,1.3625006630108594e-18,-0.12896851378837662,0.07277698186699055
active_5w_plus,12017,1495,0.9890552453274483,0.9940117684717801,0.03956109047772421,0.03304415754974829,-5.342838109180692,1.0157845147007572e-07,8281319.0,1.0830827561335917e-15,-0.12743619918979954,0.07808208159956231
