group,week,n,mean_EI,sd_EI,ci95_low,ci95_high
Experienced,1,1845,0.903992817476874,0.9896173938036223,0.8588358045654124,0.9491498303883356
Experienced,2,1845,0.8824690182823189,0.9478951711857995,0.8392158229040219,0.925722213660616
Experienced,3,1845,1.5169852520019793,1.2369741348692103,1.460541158224746,1.5734293457792126
Experienced,4,1845,0.6965529122388279,0.8674255543568068,0.6569716081883102,0.7361342162893455
Experienced,5,1845,1.1753350515289962,6.720022500957823,0.8686951877380795,1.4819749153199129
Experienced,6,1845,0.622908807742427,3.2244363492316763,0.4757752642476018,0.7700423512372521
Experienced,7,1845,0.7171265173185912,5.021387770813037,0.4879966800503353,0.9462563545868472
Experienced,8,1845,0.8374170332756137,5.709917674420707,0.576869039918128,1.0979650266330994
Experienced,9,1845,0.8592751218716211,7.894573371515632,0.49903958650192426,1.219510657241318
Experienced,10,1845,1.4045023531800076,5.8719236914363835,1.1365618990109823,1.672442807349033
Experienced,11,1845,0.392054587201385,2.7910262914496444,0.2646978824098458,0.5194112919929241
Experienced,12,1845,0.3405299188246585,2.711109688634912,0.21681987090045118,0.4642399667488658
Experienced,13,1845,0.5992951597258578,6.124058647262423,0.31984959102776567,0.8787407284239499
Experienced,14,1845,1.3074316053849453,20.99005862474809,0.34963887228937707,2.2652243384805137
Experienced,15,1845,1.490005883658039,22.552459641423074,0.46091957455558696,2.519092192760491
Experienced,16,1845,1.075153445636487,13.095544340864784,0.47759355169590434,1.67271333957707
Experienced,17,1845,0.8293946399848282,7.657387139156398,0.4799820972425146,1.1788071827271418
Experienced,18,1845,0.7974583130672819,7.958739503478275,0.4342948270899479,1.160621799044616
Experienced,19,1845,1.1401357417188118,10.701617330096587,0.6518126029234279,1.6284588805141957
Experienced,20,1845,1.6552856746843057,16.15908003463912,0.9179342595510962,2.392637089817515
Experienced,21,1845,1.7802181200479075,14.197575057795282,1.1323717056552267,2.4280645344405882
Experienced,22,1845,0.8027146698402869,8.017395664318524,0.4368746575316812,1.1685546821488928
Experienced,23,1845,1.5274804585448738,21.28439776040195,0.5562568013039815,2.498704115785766
Experienced,24,1845,0.8589801116850174,13.39159774800871,0.24791107005504665,1.4700491533149882
Experienced,25,1845,1.5273878153570422,31.74853245082774,0.078677537244773,2.9760980934693113
Experienced,26,1845,1.1721489155265328,27.03717344653808,-0.06157837954668044,2.4058762105997458
Experienced,27,1845,0.8077591187239727,11.141937393486916,0.29934383228426564,1.3161744051636797
Experienced,28,1845,0.9356202206851022,12.411932847361648,0.36925405194764627,1.5019863894225582
Experienced,29,1845,0.8594558383002857,7.707474085473472,0.507757789163584,1.2111538874369874
Experienced,30,1845,1.8934728199579098,18.467876653302916,1.05076921581535,2.73617642410047
Novice,1,13790,1.0342668890197106,0.9195781090425418,1.0189185083354635,1.0496152697039578
Novice,2,13790,0.8635913964282446,0.7822309373144285,0.8505354329479939,0.8766473599084952
Novice,3,13790,1.2402941141174153,0.9925334279871673,1.2237280598096967,1.256860168425134
Novice,4,13790,0.8618476004346295,0.8214865589530818,0.8481364340749474,0.8755587667943115
Novice,5,13790,1.1562154038189163,10.571713888976825,0.9797663478252914,1.3326644598125412
Novice,6,13790,0.8266028922788999,5.70403748350501,0.7313986482096233,0.9218071363481766
Novice,7,13790,0.932757821536658,8.937925262903958,0.7835778028808926,1.0819378401924233
Novice,8,13790,0.9296822996212044,6.971408403480303,0.8133247775903866,1.0460398216520221
Novice,9,13790,0.601654847326356,6.293312710738243,0.49661520110207497,0.7066944935506371
Novice,10,13790,0.784261185868668,6.9269691803491975,0.6686453845326138,0.8998769872047222
Novice,11,13790,0.3386145559756387,1.5662839041607621,0.3124722181097467,0.36475689384153076
Novice,12,13790,0.32964650778325993,2.855529567975357,0.28198578768408017,0.3773072278824397
Novice,13,13790,0.5163656440103419,5.347655320926074,0.42710965930756106,0.6056216287131228
Novice,14,13790,0.5512240506409989,6.587654413561996,0.441271642290516,0.6611764589914818
Novice,15,13790,0.43517911563956857,1.973830836782765,0.4022345437849917,0.46812368749414546
Novice,16,13790,0.4794021676498589,1.8231248995816172,0.44897297983149814,0.5098313554682197
Novice,17,13790,0.49276008596550536,3.081526934321437,0.4413273169471441,0.5441928549838666
Novice,18,13790,0.5522584898793597,3.6488591366843663,0.49135656263433625,0.6131604171243831
Novice,19,13790,0.7838136589649024,6.192854007537067,0.6804507364518707,0.8871765814779341
Novice,20,13790,0.742919297515095,5.402810653913744,0.6527427329951819,0.8330958620350081
Novice,21,13790,0.7612644301902298,4.6690510131356895,0.6833348104231926,0.8391940499572671
Novice,22,13790,0.5960372783150797,2.726855351622596,0.5505242179279016,0.6415503387022577
Novice,23,13790,0.5413725979290138,1.9163601315434717,0.5093872510206715,0.5733579448373561
Novice,24,13790,0.6041891374530752,5.933092872481539,0.5051618039983298,0.7032164709078207
Novice,25,13790,0.4206568587649797,1.861294778440376,0.3895905898486296,0.45172312768132983
Novice,26,13790,0.3089757878361075,1.2850479519180218,0.2875274682538963,0.33042410741831874
Novice,27,13790,0.2909537555651965,1.0021618302952509,0.27422699670986816,0.3076805144205248
Novice,28,13790,0.4078260002314435,1.8438007378713193,0.37705171868595316,0.43860028177693383
Novice,29,13790,0.5240611591833955,8.695720245263233,0.3789237061105095,0.6691986122562814
Novice,30,13790,0.6140170487775438,5.223333264386349,0.5268360832954868,0.7011980142596008
